User:  Email: eric06@gmail.com, Password: h6HUW0Tg!y, Role: donor
User:  Email: bpowers@hotmail.com, Password: g#3qjUCh(q, Role: donor
User:  Email: dominiqueanderson@gmail.com, Password: cnA*EXzE%5, Role: donor
User:  Email: ayoung@yahoo.com, Password: +eFdQA2G5v, Role: donor
User:  Email: walkeramy@yahoo.com, Password: &1vEE&$pUj, Role: donor
User:  Email: yharper@gmail.com, Password: &LNA8Ki(Dd, Role: donor
User:  Email: hallshaun@hotmail.com, Password: 2k&W8Py+uh, Role: donor
User:  Email: orraustin@yahoo.com, Password: m^0dHuiO$*, Role: donor
User:  Email: sean19@gmail.com, Password: 80V9wNdo(q, Role: donor
User:  Email: sandrareed@yahoo.com, Password: &5DNhiyqM9, Role: donor
User:  Email: pamelawhite@yahoo.com, Password: ZVA^0gcf$9, Role: donor
User:  Email: mark49@hotmail.com, Password: J$a0NdRK^$, Role: donor
User:  Email: jessicacabrera@gmail.com, Password: *5PMSl%agM, Role: donor
User:  Email: scott39@gmail.com, Password: rbEHQsOI!4, Role: donor
User:  Email: vcarter@gmail.com, Password: 2T8#gNu+$(, Role: donor
User:  Email: anthonyromero@hotmail.com, Password: +yYjYT7Aj5, Role: donor
User:  Email: scarlson@yahoo.com, Password: bd(9Y9Wq(2, Role: donor
User:  Email: rjacobs@yahoo.com, Password: %g!0@mSr6b, Role: donor
User:  Email: ethan94@yahoo.com, Password: IqY$8L3aCg, Role: donor
User:  Email: zgreen@hotmail.com, Password: 1+p4TxNmjD, Role: donor
User:  Email: wangtimothy@hotmail.com, Password: K)0C&(zVKW, Role: admin
User:  Email: chavezamber@hotmail.com, Password: m)m1IgAQ6(, Role: admin
User:  Email: misty84@hotmail.com, Password: d#A1XO^qRl, Role: admin
User:  Email: regina33@yahoo.com, Password: ^Lr8ZtOraH, Role: admin
User:  Email: martinmiguel@yahoo.com, Password: h+*4tM6uGE, Role: admin
User:  Email: davidstephens@yahoo.com, Password: kOp9zbHo_A, Role: admin
User:  Email: larsonjennifer@gmail.com, Password: F9KvGpyq(z, Role: admin
User:  Email: carpenterkayla@gmail.com, Password: 0db@3IpXLj, Role: admin
User:  Email: reginald39@yahoo.com, Password: %0_ZTKo0Rb, Role: admin
User:  Email: dennisjuan@hotmail.com, Password: k89bmnQha&, Role: admin
User:  Email: wilsonjennifer@gmail.com, Password: _@EjXsoN0S, Role: charity
User:  Email: petersoneric@yahoo.com, Password: *19HiRw3mV, Role: charity
User:  Email: kpatterson@hotmail.com, Password: %yPpKl)Z7%, Role: charity
User:  Email: marystewart@yahoo.com, Password: L*9%fYRd!x, Role: charity
User:  Email: emilyfernandez@gmail.com, Password: &l6XU30gw%, Role: charity
User:  Email: esmith@gmail.com, Password: e13uWtuFr), Role: charity
User:  Email: paulmorris@hotmail.com, Password: %9$PkFr_k+, Role: charity
User:  Email: austincaldwell@hotmail.com, Password: kjb%7DH_I^, Role: charity
User:  Email: vgonzalez@yahoo.com, Password: )9#tcJPdH), Role: charity
User:  Email: pottseduardo@yahoo.com, Password: P0^9M)iHhg, Role: charity
User:  Email: jennifer10@hotmail.com, Password: *QQl%Be_O5, Role: charity
User:  Email: mjenkins@gmail.com, Password: O^3TCY49nl, Role: charity
User:  Email: christopherday@yahoo.com, Password: H3D&2Fg8)j, Role: charity
User:  Email: morgan05@hotmail.com, Password: yh_19Zl8Lj, Role: charity
User:  Email: slopez@hotmail.com, Password: zNj65KTnW&, Role: charity
User:  Email: heathercrawford@hotmail.com, Password: #i0uUOujp6, Role: charity
User:  Email: kjordan@gmail.com, Password: 1)_2+QXn4(, Role: charity
User:  Email: paul15@hotmail.com, Password: (2WTLDtMdr, Role: charity
User:  Email: younggabriel@yahoo.com, Password: QefX9GNi^6, Role: charity
User:  Email: lucasedward@yahoo.com, Password: (9+4pnccNF, Role: charity
User:  Email: churchmatthew@yahoo.com, Password: %A(b7pRg&9, Role: charity
User:  Email: markgillespie@gmail.com, Password: 8rT2J!Ur!8, Role: charity
User:  Email: danielskristie@hotmail.com, Password: x)j2CcrEa^, Role: charity
User:  Email: grantlisa@hotmail.com, Password: &fce7LDu%P, Role: charity
User:  Email: laura36@hotmail.com, Password: 89S8JDy!@^, Role: charity
User:  Email: harristiffany@gmail.com, Password: j8d6AYRi$A, Role: charity
User:  Email: qmarsh@hotmail.com, Password: xo!T9H@cFW, Role: charity
User:  Email: qcrosby@hotmail.com, Password: !bcLGtHSh0, Role: charity
User:  Email: omeyers@yahoo.com, Password: !#7#JLlE84, Role: charity
User:  Email: christopherbryant@yahoo.com, Password: B74UyzZyu$, Role: charity
User:  Email: wcain@hotmail.com, Password: Qv6NBQqy^%, Role: charity
User:  Email: jasminecampbell@yahoo.com, Password: 34uB$!Zx+S, Role: charity
User:  Email: garygray@gmail.com, Password: _Ens2PyS#F, Role: charity
User:  Email: usaunders@gmail.com, Password: &5S6Ztctfx, Role: charity
User:  Email: tchen@hotmail.com, Password: )I@0O(Wy)5, Role: charity
User:  Email: kbates@yahoo.com, Password: ChUEh&Mj&1, Role: charity
User:  Email: caitlin48@gmail.com, Password: Te#74Ne4_Z, Role: charity
User:  Email: ryanharrison@hotmail.com, Password: $$9KW&NpwW, Role: charity
User:  Email: jessica74@yahoo.com, Password: ib2D9mYo@7, Role: charity
User:  Email: aliciacampbell@gmail.com, Password: x#K8yWsG!r, Role: charity
User:  Email: jonescody@gmail.com, Password: @zi6IXutVZ, Role: charity
User:  Email: barbaragutierrez@hotmail.com, Password: 6&0K@RqOya, Role: charity
User:  Email: phuerta@gmail.com, Password: @2dGHm_*99, Role: charity
User:  Email: henrymandy@yahoo.com, Password: exekv9Jy#), Role: charity
User:  Email: charlesruiz@yahoo.com, Password: %7rPY5s(@y, Role: charity
User:  Email: oflores@yahoo.com, Password: v4Xs3xWE*Z, Role: charity
User:  Email: mary36@hotmail.com, Password: &7L2VSj7VO, Role: charity
User:  Email: mary40@yahoo.com, Password: A8j4QJu6@h, Role: charity
User:  Email: juliejuarez@gmail.com, Password: @s3Wb1c7*x, Role: charity
User:  Email: christopherhicks@yahoo.com, Password: 20$dN8n$@P, Role: charity
